order#,id#,year,electionyr,house,newspaper,date_publ,date_notes,electiondate,date1,date2,date3,overlap_days,overlap_bin,overlap_drop,daysbefore,checkorder,sample,m_likelihood,method_face,m_phone,m_rolling,m_panel,m_internet,m_pastvote,m_partyid,vote_con,vote_lab,vote_lib,vote_oth,vote_total,h_gallup,h_gallup9000,h_nop,h_mori1,h_mori2,h_icm,h_harris1,h_harris2,h_comres,h_populus,h_populus2,h_orb,h_rasm,h_yougov1,h_yougov2,h_bpix,h_nmr,h_angusr,h_opinium,h_tns,h_bizdec,h_orc,h_rsl,h_asl,h_ashcroft,source,vote_ukip,vote_bnp,vote_green,vote_swn,vote_grn,,,,,,,,,,,,,,
35,,2015,,ComRes,,,3_5 May,,5/3/15,5/4/15,5/5/15,,,,,,1011,,,,,,,,,35,32,9,24,100,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,4,,,,,,,,,,,,,,,,
36,,2015,,BMG,May2015.com,,3_5 May,,5/3/15,5/4/15,5/5/15,,,,,,1009,,,,,,,,,33.7,33.7,10.4,22.3,100.1,,,,,,,,,,,,,,,,,,,,,,,,,,http://may2015.com/wp-content/uploads/2015/05/Screen-Shot-2015-05-05-at-21.08.08.png,12,,4,,,,,,,,,,,,,,,,
37,,2015,,Lord Ashcroft,,,1_3 May,,5/1/15,5/2/15,5/3/15,,,,,,1001,,,,,,,,,32,30,11,28,101,,,,,,,,,,,,,,,,,,,,,,,,,,http://lordashcroftpolls.com/wp-content/uploads/2015/05/ANP-summary-150505LWK.pdf,12,,7,,,,,,,,,,,,,,,,
38,,2015,,YouGov,The Sun,,3_4 May,,5/3/15,5/3/15,5/4/15,,,,,,1664,,,,,,,,,33,33,10,23,99,,,,,,,,,,,,,,,,,,,,,,,,,,YouGov/The Sun,12,,5,,,,,,,,,,,,,,,,
39,,2015,,YouGov,The Sun,,2_3 May,,5/2/15,5/2/15,5/3/15,,,,,,1789,,,,,,,,,34,33,9,24,100,,,,,,,,,,,,,,,,,,,,,,,,,,YouGov/The Sun,12,,5,,,,,,,,,,,,,,,,
40,,2015,,Populus,,,1_3 May,,5/1/15,5/2/15,5/3/15,,,,,,2054,,,,,,,,,33,33,10,23,99,,,,,,,,,,,,,,,,,,,,,,,,,,Populus,13,,5,,,,,,,,,,,,,,,,
41,,2015,,YouGov,Sunday Times,,1_2 May,,5/1/15,5/1/15,5/2/15,,,,,,1967,,,,,,,,,34,33,8,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,YouGov/Sunday Times,13,,5,,,,,,,,,,,,,,,,
42,,2015,,Survation,Mail on Sunday,,1_2 May,,5/1/15,5/1/15,5/2/15,,,,,,2128,,,,,,,,,31,34,8,27,100,,,,,,,,,,,,,,,,,,,,,,,,,,Survation/Mail on Sunday,17,,4,,,,,,,,,,,,,,,,
43,,2015,,YouGov,The Sun,,30 Apr_1 May,,4/30/15,4/30/15,5/1/15,,,,,,1575,,,,,,,,,33,34,8,24,99,,,,,,,,,,,,,,,,,,,,,,,,,,YouGov/The Sun,14,,5,,,,,,,,,,,,,,,,
44,,2015,,Survation,Daily Mirror,,30 Apr_1 May,,4/30/15,4/30/15,5/1/15,,,,,,1117,,,,,,,,,33,34,9,24,100,,,,,,,,,,,,,,,,,,,,,,,,,,Survation/Daily Mirror,16,,3,,,,,,,,,,,,,,,,
45,,2015,,YouGov,Sun on Sunday,,29_30 Apr,,4/29/15,4/29/15,4/30/15,,,,,,1970,,,,,,,,,34,35,9,23,101,,,,,,,,,,,,,,,,,,,,,,,,,,YouGov/Sun on Sunday,12,,5,,,,,,,,,,,,,,,,
46,,2015,,Populus,,,29_30 Apr,,4/29/15,4/29/15,4/30/15,,,,,,2016,,,,,,,,,33,33,9,24,99,,,,,,,,,,,,,,,,,,,,,,,,,,Populus,15,,4,,,,,,,,,,,,,,,,
47,,2015,,YouGov,The Sun,,29_30 Apr,,4/29/15,4/29/15,4/30/15,,,,,,1729,,,,,,,,,34,35,8,23,100,,,,,,,,,,,,,,,,,,,,,,,,,,http://cdn.yougov.com/cumulus_uploads/document/7x6wz22nvf/YG-Archive-Pol-Sun-results-300415.pdf,12,,5,,,,,,,,,,,,,,,,
48,,2015,,Panelbase,,,29_30 Apr,,4/29/15,4/29/15,4/30/15,,,,,,1020,,,,,,,,,32,34,8,28,102,,,,,,,,,,,,,,,,,,,,,,,,,,Panelbase,17,,4,,,,,,,,,,,,,,,,
49,,2015,,Opinium,The Observer,,28_30 Apr,,4/28/15,4/29/15,4/30/15,,,,,,1956,,,,,,,,,35,34,8,23,100,,,,,,,,,,,,,,,,,,,,,,,,,,Opinium/The Observer,13,,5,,,,,,,,,,,,,,,,
50,,2015,,ComRes,"Independent on Sunday, Sunday Mirror",,28_30 Apr,,4/28/15,4/29/15,4/30/15,,,,,,1002,,,,,,,,,33,33,8,26,100,,,,,,,,,,,,,,,,,,,,,,,,,,"ComRes/Independent on Sunday, Sunday Mirror",13,,7,,,,,,,,,,,,,,,,
51,,2015,,YouGov,The Sun,,28_29 Apr,,4/28/15,4/28/15,4/29/15,,,,,,1823,,,,,,,,,35,34,9,22,100,,,,,,,,,,,,,,,,,,,,,,,,,,YouGov/The Sun,12,,4,,,,,,,,,,,,,,,,
52,,2015,,Ipsos MORI,Evening Standard,,26_29 Apr,,4/26/15,4/27/15,4/29/15,,,,,,1010,,,,,,,,,35,30,8,27,100,,,,,,,,,,,,,,,,,,,,,,,,,,Ipsos MORI/Evening Standard,10,,8,,,,,,,,,,,,,,,,
53,,2015,,ComRes,"ITV News, Daily Mail",,27_28 Apr,,4/27/15,4/27/15,4/28/15,,,,,,1005,,,,,,,,,35,35,7,23,100,,,,,,,,,,,,,,,,,,,,,,,,,,"ComRes/ITV News, Daily Mail",11,,6,,,,,,,,,,,,,,,,
54,,2015,,YouGov,The Sun,,27_28 Apr,,4/27/15,4/27/15,4/28/15,,,,,,1749,,,,,,,,,34,35,9,22,100,,,,,,,,,,,,,,,,,,,,,,,,,,YouGov/The Sun,12,,4,,,,,,,,,,,,,,,,
55,,2015,,YouGov,The Sun,,26_27 Apr,,4/26/15,4/26/15,4/27/15,,,,,,2127,,,,,,,,,35,34,9,23,101,,,,,,,,,,,,,,,,,,,,,,,,,,YouGov/The Sun,12,,5,,,,,,,,,,,,,,,,
56,,2015,,BMG,May2015.com,,25_27 Apr,,4/25/15,4/26/15,4/27/15,,,,,,1013,,,,,,,,,35,32,11,22,100,,,,,,,,,,,,,,,,,,,,,,,,,,BMG/May2015.com,14,,3,,,,,,,,,,,,,,,,
57,,2015,,TNS,,,23_27 Apr,,4/23/15,4/25/15,4/27/15,,,,,,1186,,,,,,,,,34,33,7,25,99,,,,,,,,,,,,,,,,,,,,,,,,,,TNS,15,,5,,,,,,,,,,,,,,,,
58,,2015,,YouGov,The Sun,,25_26 Apr,,4/25/15,4/25/15,4/26/15,,,,,,2096,,,,,,,,,33,34,8,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,YouGov/The Sun,14,,5,,,,,,,,,,,,,,,,
59,,2015,,Lord Ashcroft,,,24_26 Apr,,4/24/15,4/25/15,4/26/15,,,,,,1003,,,,,,,,,36,30,9,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,Lord Ashcroft,11,,7,,,,,,,,,,,,,,,,
60,,2015,,ICM,The Guardian,,24_26 Apr,,4/24/15,4/25/15,4/26/15,,,,,,1004,,,,,,,,,35,32,9,24,100,,,,,,,,,,,,,,,,,,,,,,,,,,ICM/The Guardian,13,,5,,,,,,,,,,,,,,,,
61,,2015,,Populus,,,24_26 Apr,,4/24/15,4/25/15,4/26/15,,,,,,2072,,,,,,,,,33,36,8,23,100,,,,,,,,,,,,,,,,,,,,,,,,,,Populus,14,,5,,,,,,,,,,,,,,,,
62,,2015,,YouGov,Sunday Times,,24_25 Apr,,4/24/15,4/24/15,4/25/15,,,,,,2271,,,,,,,,,32,34,9,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,YouGov/Sunday Times,14,,6,,,,,,,,,,,,,,,,
63,,2015,,Survation,Mail on Sunday,,24_25 Apr,,4/24/15,4/24/15,4/25/15,,,,,,1004,,,,,,,,,33,30,9,28,100,,,,,,,,,,,,,,,,,,,,,,,,,,Survation/Mail on Sunday,18,,4,,,,,,,,,,,,,,,,
64,,2015,,YouGov,The Sun,,23_24 Apr,,4/23/15,4/23/15,4/24/15,,,,,,1594,,,,,,,,,33,35,8,24,100,,,,,,,,,,,,,,,,,,,,,,,,,,YouGov/The Sun,13,,6,,,,,,,,,,,,,,,,
65,,2015,,Opinium,The Observer,,21_24 Apr,,4/21/15,4/22/15,4/24/15,,,,,,1964,,,,,,,,,34,33,9,24,100,,,,,,,,,,,,,,,,,,,,,,,,,,Opinium/The Observer,13,,6,,,,,,,,,,,,,,,,
66,,2015,,Populus,,,22_23 Apr,,4/22/15,4/22/15,4/23/15,,,,,,2051,,,,,,,,,32,35,8,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,Populus,14,,5,,,,,,,,,,,,,,,,
67,,2015,,YouGov,The Sun,,22_23 Apr,,4/22/15,4/22/15,4/23/15,,,,,,1834,,,,,,,,,33,35,8,25,101,,,,,,,,,,,,,,,,,,,,,,,,,,YouGov/The Sun,13,,6,,,,,,,,,,,,,,,,
68,,2015,,Survation,Daily Mirror,,22_23 Apr,,4/22/15,4/22/15,4/23/15,,,,,,1205,,,,,,,,,33,29,10,28,100,,,,,,,,,,,,,,,,,,,,,,,,,,Survation/Daily Mirror,18,,4,,,,,,,,,,,,,,,,
69,,2015,,Panelbase,,,21_23 Apr,,4/21/15,4/22/15,4/23/15,,,,,,1012,,,,,,,,,31,34,7,28,100,,,,,,,,,,,,,,,,,,,,,,,,,,Panelbase,17,,4,,,,,,,,,,,,,,,,
70,,2015,,ComRes,"ITV News, Daily Mail",,21_22 Apr,,4/21/15,4/21/15,4/22/15,,,,,,1003,,,,,,,,,36,32,8,24,100,,,,,,,,,,,,,,,,,,,,,,,,,,"ComRes/ITV News, Daily Mail",10,,5,,,,,,,,,,,,,,,,
71,,2015,,YouGov,The Sun,,21_22 Apr,,4/21/15,4/21/15,4/22/15,,,,,,2060,,,,,,,,,33,34,7,25,99,,,,,,,,,,,,,,,,,,,,,,,,,,YouGov/The Sun,14,,5,,,,,,,,,,,,,,,,
72,,2015,,YouGov,The Sun,,20_21 Apr,,4/20/15,4/20/15,4/21/15,,,,,,1799,,,,,,,,,35,34,7,24,100,,,,,,,,,,,,,,,,,,,,,,,,,,YouGov/The Sun,13,,5,,,,,,,,,,,,,,,,
73,,2015,,YouGov,The Sun,,19_20 Apr,,4/19/15,4/19/15,4/20/15,,,,,,2078,,,,,,,,,34,35,7,24,100,,,,,,,,,,,,,,,,,,,,,,,,,,YouGov/The Sun,13,,5,,,,,,,,,,,,,,,,
74,,2015,,TNS,,,16_20 Apr,,4/16/15,4/18/15,4/20/15,,,,,,1199,,,,,,,,,32,34,8,26,100,,,,,,,,,,,,,,,,,,,,,,,,,,TNS,15,,5,,,,,,,,,,,,,,,,
75,,2015,,YouGov,The Sun,,18_19 Apr,,4/18/15,4/18/15,4/19/15,,,,,,1675,,,,,,,,,34,35,8,24,101,,,,,,,,,,,,,,,,,,,,,,,,,,YouGov/The Sun,13,,5,,,,,,,,,,,,,,,,
76,,2015,,Lord Ashcroft,,,17_19 Apr,,4/17/15,4/18/15,4/19/15,,,,,,1002,,,,,,,,,34,30,10,26,100,,,,,,,,,,,,,,,,,,,,,,,,,,Lord Ashcroft,13,,4,,,,,,,,,,,,,,,,
77,,2015,,Populus,,,17_19 Apr,,4/17/15,4/18/15,4/19/15,,,,,,2048,,,,,,,,,32,34,9,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,Populus,15,,4,,,,,,,,,,,,,,,,
78,,2015,,ICM,The Guardian,,17_19 Apr,,4/17/15,4/18/15,4/19/15,,,,,,1003,,,,,,,,,34,32,10,24,100,,,,,,,,,,,,,,,,,,,,,,,,,,ICM/The Guardian,11,,5,,,,,,,,,,,,,,,,
